City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
17,Esmeraldas,BR,78.8,few clouds,-19.7625,-44.3139,Forasteiro Pousada - Hotel
18,Georgetown,MY,78.01,few clouds,5.4112,100.3354,Cititel Penang
19,Ipu,BR,73.8,scattered clouds,-4.3222,-40.7108,Our hostel Corner
24,Lujan,AR,78.01,clear sky,-34.5703,-59.105,Hotel Biarritz
31,Kapaa,US,73.0,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
41,Pedernales,DO,77.07,few clouds,18.0384,-71.744,Hotel Costa Marina
43,Huarmey,PE,74.61,clear sky,-10.0681,-78.1522,Hotel Miramar
47,Saint-Philippe,RE,75.2,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
50,Minab,IR,71.6,dust,27.1467,57.0801,Bam campground
51,Gorontalo,ID,76.68,scattered clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
56,Port Alfred,ZA,73.0,broken clouds,-33.5906,26.891,The Halyards Hotel
58,Buriti Bravo,BR,72.9,overcast clouds,-5.8372,-43.8336,Hotel Fazenda
59,Porto Walter,BR,76.42,light rain,-8.2686,-72.7439,Secretaria de saúde
62,Vaini,TO,77.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
64,Mount Isa,AU,77.0,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
67,Necochea,AR,71.01,clear sky,-38.5473,-58.7368,dyd -mar Hotel
69,Meulaboh,ID,76.32,overcast clouds,4.1363,96.1285,Kost Pria
71,Hilo,US,71.6,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
72,Atuona,PF,79.3,broken clouds,-9.8,-139.0333,Villa Enata
73,Buenos Aires,AR,77.0,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
89,Lhokseumawe,ID,76.44,few clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
94,Cradock,ZA,72.84,scattered clouds,-32.1642,25.6192,Die Hoekhuis
95,Dipolog,PH,77.38,broken clouds,8.5894,123.3414,D'Hotel & Suites
97,East London,ZA,77.49,scattered clouds,-33.0153,27.9116,Tu Casa
99,Banjar,ID,77.0,broken clouds,-8.19,114.9675,The Hamsa Resort
101,Makakilo City,US,78.8,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
106,Cabo San Lucas,MX,73.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
109,Butterworth,MY,78.01,few clouds,5.3991,100.3638,Cititel Penang
110,Morondava,MG,77.54,clear sky,-20.2833,44.2833,La Case Bambou
120,Moron,AR,77.0,clear sky,-34.6534,-58.6198,Hotel Morón
139,Bosaso,SO,76.37,clear sky,11.2842,49.1816,Red Sea Hotel
140,Hambantota,LK,77.05,scattered clouds,6.1241,81.1185,Bungalow 63
144,Arraial Do Cabo,BR,77.47,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
145,Ixtapa,MX,78.8,clear sky,20.7,-105.2,Hotel Plaza Providencia
153,Cidreira,BR,74.12,few clouds,-30.1811,-50.2056,Hotel Castelo
157,Sao Filipe,CV,70.79,clear sky,14.8961,-24.4956,Tortuga B&B
158,Inirida,CO,75.06,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
166,Vao,NC,76.66,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
168,Ambanja,MG,74.46,light rain,-13.6833,48.45,Hotel Salama and Fast Food
170,Pisco,PE,75.2,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
171,Jeremie,HT,76.44,clear sky,18.65,-74.1167,Auberge’Inn
176,Veraval,IN,75.56,clear sky,20.9,70.3667,Lords Inn Somnath
182,Acari,PE,76.3,clear sky,-15.4311,-74.6158,HOSPEDAJE XIMENA
193,Kirakira,SB,77.23,moderate rain,-10.4544,161.9205,SanBiz Lodge
197,Cururupu,BR,74.62,scattered clouds,-1.8283,-44.8683,Pousada Través'cia
202,Saint-Pierre,RE,75.2,clear sky,-21.3393,55.4781,Lindsey Hôtel
207,Geraldton,AU,71.6,clear sky,-28.7667,114.6,Broadwater Mariner Resort
214,Imbituba,BR,78.8,few clouds,-28.24,-48.6703,Praia Hotel Imbituba
220,Tambura,SS,74.5,broken clouds,5.6,27.4667,Rikito Lodge
223,Jawhar,SO,74.17,broken clouds,2.7809,45.5005,cosoble spare parts
224,Phuntsholing,BT,70.41,overcast clouds,26.8516,89.3884,Hotel White House
232,Mataram,ID,77.0,scattered clouds,-8.5833,116.1167,Hotel Santika Mataram
235,Joao Pinheiro,BR,70.02,light rain,-17.7425,-46.1725,Hotel Santos
237,Matiguas,NI,73.4,broken clouds,12.8373,-85.4622,Hotel Bethel
241,Ormara,PK,72.61,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
242,Cobija,BO,79.21,broken clouds,-11.0267,-68.7692,Hotel Obelisco
244,Wahiawa,US,78.8,broken clouds,21.5028,-158.0236,Aloha Wahiawa
245,Namibe,AO,75.72,light rain,-15.1961,12.1522,Hotel Chik Chik Namibe
246,Palu,ID,76.15,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
251,Atambua,ID,75.65,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
255,Port Elizabeth,ZA,73.4,clear sky,-33.918,25.5701,39 On Nile Guest House
260,Oeiras Do Para,BR,75.69,overcast clouds,-2.0031,-49.8544,Araticu Soft Hotel
267,Kloulklubed,PW,77.0,broken clouds,7.0419,134.2556,Storyboard Beach Resort
269,Umm Lajj,SA,71.17,overcast clouds,25.0213,37.2685,Moon light Furnished Units
272,Carutapera,BR,76.03,overcast clouds,-1.195,-46.02,Lidera
274,Ahipara,NZ,70.86,clear sky,-35.1667,173.1667,Ahipara Holiday Park
283,Salinopolis,BR,78.62,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
295,Byron Bay,AU,77.0,clear sky,-28.65,153.6167,Backpackers Inn on the Beach
296,Matara,LK,75.42,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
300,Ballina,AU,77.0,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
301,Kendari,ID,76.55,broken clouds,-3.945,122.4989,Hotel Wixel
305,San Cristobal,VE,78.8,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
310,Coihaique,CL,71.6,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
313,Itarema,BR,78.44,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
329,Marawi,PH,72.0,overcast clouds,7.9986,124.2928,Derogongan Residence
330,Bang Saphan,TH,74.23,clear sky,11.2126,99.5117,Ladawan Boutique Hotel
334,Banda Aceh,ID,78.64,overcast clouds,5.5577,95.3222,Sulthan Hotel International
338,San Patricio,US,78.8,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
339,Clarence Town,AU,73.99,moderate rain,-32.5833,151.7833,River Downs Cottage
342,Alta Floresta,BR,72.05,moderate rain,-9.8756,-56.0861,Floresta Amazonica Hotel
343,Tacuarembo,UY,75.25,scattered clouds,-31.7333,-55.9833,Complejo San Fructuoso
346,Santa Maria,BR,78.8,clear sky,-29.6842,-53.8069,Hotel Morotin
347,Bubaque,GW,78.17,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
350,Beira,MZ,75.34,light rain,-19.8436,34.8389,Beira Terrace Hotel
351,San Pedro,PH,79.0,overcast clouds,14.35,121.0167,OYO 412 Viewfort Venue
354,Padang,ID,75.2,broken clouds,-0.9492,100.3543,Mercure Padang
355,Dingle,PH,76.42,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
361,Ilo,PE,73.09,clear sky,-17.6394,-71.3375,Torreblanca Hotel
368,Alim,PH,79.34,overcast clouds,9.5649,122.4876,Calamai Tropica
371,Paranaiba,BR,76.28,scattered clouds,-19.6772,-51.1908,Villa Rica Park Hotel GMR
382,Marsh Harbour,BS,71.8,clear sky,26.5412,-77.0636,Abaco Beach Resort
383,Maumere,ID,79.75,moderate rain,-8.6199,122.2111,Sylvia Hotel
385,Honiara,SB,79.32,overcast clouds,-9.4333,159.95,Heritage Park Hotel
386,Dori,BF,79.25,overcast clouds,14.0354,-0.0345,Hôtel Liptako
389,Baturaja,ID,72.72,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
391,Jalingo,NG,78.37,overcast clouds,8.8833,11.3667,Debright Motel
393,Sao Felix Do Xingu,BR,72.52,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
395,Port Moresby,PG,77.0,haze,-9.4431,147.1797,Lamana Hotel
398,Hobyo,SO,79.43,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
400,Jasdan,IN,73.51,clear sky,22.0333,71.2,Radhuvir Guest House & A World Restaurant
402,Matadi,CD,77.04,broken clouds,-5.8167,13.45,Hotel Fortune
405,Kahului,US,72.0,light rain,20.8947,-156.47,Maui Seaside Hotel
406,Bilma,NE,77.86,clear sky,18.6853,12.9164,Expeditions Ténére voyages
423,Kedougou,SN,79.41,broken clouds,12.5579,-12.1743,Relais de Kédougou
427,Lubao,PH,78.8,broken clouds,14.9167,120.55,Hacienda Gracia
430,Berbera,SO,77.22,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
441,Gigmoto,PH,75.87,moderate rain,13.7796,124.39,Cj's Travellers Inn
445,Vilhena,BR,73.4,few clouds,-12.7406,-60.1458,Hotel Mirage
446,Port Hedland,AU,77.0,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
449,Mayumba,GA,79.97,overcast clouds,-3.432,10.6554,LIKWALE LODGE
463,Kabala,SL,79.16,overcast clouds,9.5833,-11.55,Kabala Hill View
465,Bom Jesus,BR,75.02,clear sky,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
480,Inhambane,MZ,75.33,few clouds,-23.865,35.3833,Oceano
481,Yenagoa,NG,79.21,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
486,Tamandare,BR,79.02,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
489,Sampit,ID,73.51,scattered clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
501,Mineiros,BR,70.34,light rain,-17.5694,-52.5511,Pilões Palace Hotel
502,Januaria,BR,72.7,clear sky,-15.4833,-44.3667,Hotel Paraguassu
508,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
511,Sao Miguel Do Araguaia,BR,75.13,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
513,Granja,BR,74.71,scattered clouds,-3.1203,-40.8261,Pousada Casa Grande
514,Monrovia,LR,77.0,broken clouds,6.3005,-10.7969,Sunset Inn
528,Waingapu,ID,79.39,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
536,Kattivakkam,IN,75.2,mist,13.2167,80.3167,Raj's villa
549,Alyangula,AU,77.0,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
550,Arlit,NE,73.8,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
554,Tabou,CI,78.91,moderate rain,4.423,-7.3528,hotêl doufoulougou
562,Negombo,LK,77.0,few clouds,7.2083,79.8358,Hotel Sunset Beach
563,Kailua,US,73.4,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
566,Baytown,US,77.0,broken clouds,29.7355,-94.9774,Econo Lodge
571,Pangkalanbuun,ID,73.26,light rain,-2.6833,111.6167,Grand Kecubung Hotel
572,Eravur,LK,77.58,scattered clouds,7.7733,81.6095,Farhan KING House
575,Dickinson,US,77.0,scattered clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
577,Chicama,PE,73.4,few clouds,-7.8447,-79.1469,Hospedaje Punta Cana PERU
580,Bengkulu,ID,75.74,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
587,Zaraza,VE,78.89,overcast clouds,9.3503,-65.3245,Hotel Zaraza
590,Caravelas,BR,75.81,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
595,Sao Joao Da Barra,BR,76.51,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
596,Skeldon,GY,74.08,broken clouds,5.8833,-57.1333,Rits Hotel
602,San-Pedro,CI,79.63,light rain,4.7485,-6.6363,Hotel Maria
603,Dabola,GN,77.9,scattered clouds,10.75,-11.1167,Hotel Tinkisso
604,Cameta,BR,77.02,overcast clouds,-2.2444,-49.4958,Hotel San Juan
606,Belmonte,BR,78.8,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
612,Beitbridge,ZW,72.55,few clouds,-22.2167,30.0,PETERS MOTEL & CONFERENCE CENTRE
613,Balabac,PH,79.11,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
615,Samana,DO,78.8,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
617,Bandarbeyla,SO,77.43,scattered clouds,9.4942,50.8122,JABIR HOTEL
622,Mahuva,IN,74.84,clear sky,21.0914,71.7622,Hotel Blue Diamond.
629,Ambilobe,MG,74.32,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
636,Tabat,ID,74.39,broken clouds,-2.635,115.2274,Perumahan PNS Senga Permai
648,Resplendor,BR,71.8,clear sky,-19.3256,-41.2553,Pousada Bixu de Pé
650,Port Blair,IN,78.71,few clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
658,Sibolga,ID,75.56,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
660,Piracuruca,BR,74.46,broken clouds,-3.9281,-41.7092,Pousada Piracuruca
662,Lima,PE,77.0,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
664,Rivera,UY,76.21,broken clouds,-30.9053,-55.5508,Hotel Casino & Resort Rivera
668,Bodden Town,KY,78.8,scattered clouds,19.2833,-81.25,Will T Place
669,Buchanan,LR,77.0,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
670,Port-Gentil,GA,78.8,few clouds,-0.7193,8.7815,Fengshui Residence
683,Pemangkat,ID,76.01,broken clouds,1.1667,108.9667,Kost H.Syamsuddin
684,Punta Alta,AR,73.81,clear sky,-38.8759,-62.0736,Center Hotel Punta Alta
690,Baculin,PH,79.5,light rain,7.4525,126.5842,Shovy's Cove
695,Cockburn Town,TC,77.0,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
